# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Relz	Step	Time	sigma	R0
964	14	0.1400	1
965	27	0.2700	2
966	9	0.0900	1
967	11	0.1100	1
968	7	0.0700	1
969	17	0.1700	1
970	22	0.2200	2
971	34	0.3400	3
972	11	0.1100	1
973	6	0.0600	1
974	24	0.2400	2
975	17	0.1700	2
976	4	0.0400	1
977	6	0.0600	1
978	3	0.0300	1
979	14	0.1400	2
980	13	0.1300	1
981	24	0.2400	4
982	7	0.0700	1
983	10	0.1000	3
984	4	0.0400	1
985	30	0.3000	1
986	20	0.2000	1
987	8	0.0800	1
988	23	0.2300	1
989	28	0.2800	2
990	11	0.1100	2
991	1	0.0100	1
992	2	0.0200	1
993	12	0.1200	1
994	10	0.1000	1
995	1	0.0100	1
996	6	0.0600	1
997	11	0.1100	1
998	5	0.0500	1
999	25	0.2500	1
# Simulation completed.
