# Step	Time	mean_S	stderr_S	mean_I	stderr_I
25300	253.0000	399.340000	42.512611	600.660000	42.512611
25400	254.0000	401.160000	42.408531	598.840000	42.408531
25500	255.0000	398.640000	42.586550	601.360000	42.586550
25600	256.0000	396.440000	42.729607	603.560000	42.729607
25700	257.0000	395.420000	42.783128	604.580000	42.783128
25800	258.0000	396.480000	42.710825	603.520000	42.710825
25900	259.0000	397.960000	42.628863	602.040000	42.628863
26000	260.0000	399.700000	42.491056	600.300000	42.491056
26100	261.0000	397.360000	42.644575	602.640000	42.644575
26200	262.0000	399.160000	42.530313	600.840000	42.530313
26300	263.0000	399.320000	42.523701	600.680000	42.523701
26400	264.0000	397.460000	42.644626	602.540000	42.644626
26500	265.0000	400.440000	42.432140	599.560000	42.432140
26600	266.0000	396.160000	42.731360	603.840000	42.731360
26700	267.0000	400.780000	42.428606	599.220000	42.428606
26800	268.0000	398.120000	42.595780	601.880000	42.595780
26900	269.0000	396.960000	42.683973	603.040000	42.683973
27000	270.0000	397.140000	42.683899	602.860000	42.683899
27100	271.0000	397.840000	42.627309	602.160000	42.627309
27200	272.0000	397.960000	42.623627	602.040000	42.623627
27300	273.0000	398.280000	42.593793	601.720000	42.593793
27400	274.0000	396.560000	42.702264	603.440000	42.702264
27500	275.0000	401.860000	42.340373	598.140000	42.340373
27600	276.0000	397.620000	42.634586	602.380000	42.634586
27700	277.0000	397.660000	42.624712	602.340000	42.624712
27800	278.0000	398.760000	42.582255	601.240000	42.582255
27900	279.0000	399.940000	42.478488	600.060000	42.478488
28000	280.0000	397.160000	42.667837	602.840000	42.667837
28100	281.0000	396.860000	42.689652	603.140000	42.689652
28200	282.0000	399.280000	42.522296	600.720000	42.522296
28300	283.0000	397.920000	42.643028	602.080000	42.643028
28400	284.0000	398.900000	42.568047	601.100000	42.568047
28500	285.0000	403.320000	42.245752	596.680000	42.245752
28600	286.0000	400.740000	42.421276	599.260000	42.421276
28700	287.0000	400.660000	42.420312	599.340000	42.420312
28800	288.0000	401.480000	42.358010	598.520000	42.358010
28900	289.0000	400.720000	42.404057	599.280000	42.404057
29000	290.0000	397.140000	42.663765	602.860000	42.663765
29100	291.0000	399.420000	42.504542	600.580000	42.504542
29200	292.0000	400.520000	42.423392	599.480000	42.423392
